PAID-IN CAPITAL IN EXCESS OF PAR - COMMON,Equity,Credits Increase,Debits Decrease
PAID-IN CAPITAL IN EXCESS OF PAR - PREFERRED,Equity,Credits Increase,Debits Decrease
PATENT,Asset,Debits Increase,Credits Decrease
PAYROLL TAX EXPENSE,Expense,Debits Increase,Credits Decrease
PETTY CASH,Asset,Debits Increase,Credits Decrease
POSTAGE EXPENSE,Expense,Debits Increase,Credits Decrease
PREMIUM ON BONDS PAYABLE,Liability Adjunct Account,Credits Increase,Debits Decrease
PREPAID INSURANCE,Asset,Debits Increase,Credits Decrease
PREPAID RENT,Asset,Debits Increase,Credits Decrease
PURCHASE DISCOUNTS,Reduces Calculation of Net Purchases,Credits Increase,Debits Decrease
PURCHASE DISCOUNTS LOST,Expense,Debits Increase,Credits Decrease
PURCHASES,Part of Calculation of Net Purchases,Debits Increase,Credits Decrease
PURCHASE RETURNS,Reduces Calculation of Net Purchases,Credits Increase,Debits Decrease
RENT EXPENSE,Expense,Debits Increase,Credits Decrease
REPAIR EXPENSE,Expense,Debits Increase,Credits Decrease
RETAINED EARNINGS,Equity,Credits Increase,Debits Decrease
RETIREMENT CONTRIBUTION PAYABLE,Liability,Credits Increase,Debits Decrease
REVENUE,Revenue,Credits Increase,Debits Decrease
SALARIES EXPENSE,Expense,Debits Increase,Credits Decrease
SALARIES PAYABLE,Liability,Credits Increase,Debits Decrease
SALES,Revenue,Credits Increase,Debits Decrease
SALES DISCOUNTS,Contra Revenue,Debits Increase,Credits Decrease
SALES RETURNS,Contra Revenue,Debits Increase,Credits Decrease
SERVICE CHARGE,Expense,Debits Increase,Credits Decrease
SERVICE REVENUE,Revenue,Credits Increase,Debits Decrease
SOCIAL SECURITY PAYABLE,Liability,Credits Increase,Debits Decrease
STATE INCOME TAX PAYABLE,Liability,Credits Increase,Debits Decrease
STATE UNEMPLOYMENT TAX PAYABLE,Liability,Credits Increase,Debits Decrease
SUPPLIES,Asset,Debits Increase,Credits Decrease
SUPPLIES EXPENSE,Expense,Debits Increase,Credits Decrease
TRADING SECURITIES,Asset,Debits Increase,Credits Decrease
TREASURY STOCK,Contra Equity,Debits Increase,Credits Decrease
UNCOLLECTIBLE ACCOUNTS EXPENSE,Expense,Debits Increase,Credits Decrease
UNEARNED REVENUE,Liability,Credits Increase,Debits Decrease
UNREALIZED GAIN,Gain,Credits Increase,Debits Decrease
UNREALIZED LOSS,Loss,Debits Increase,Credits Decrease
UNREALIZED GAIN - OTHER COMPREHENSIVE INCOME,Increase in Equity via Other Comprehensive Income,Credits Increase,Debits Decrease
UNREALIZED LOSS - OTHER COMPREHENSIVE INCOME,Decrease in Equity via Other Comprehensive Income,Debits Increase,Credits Decrease
UTILITIES EXPENSE,Expense,Debits Increase,Credits Decrease
WARRANTY EXPENSE,Expense,Debits Increase,Credits Decrease
WARRANTY LIABILITY,Liability,Credits Increase,Debits Decrease
